"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"まぁまぁ、蟲毒の壺から出てきたら・・・

頼もしい顔つきになりましたわね。","Well, well, once you came out of the jar of insect poison... 

 You've become quite dependable-looking, haven't you?","Well, well, well. When you come out of the pot of mushy poison...

You look so dependable.","Well, if you come out of the pot of insect poison...

You've become a trustworthy face.","MTL is having issues with the second line, also should it be literally ""pot of poisonous insects"" or just Kodoku pot?","Well, well, once you came out of the jar of insect poison... 

 You've become quite dependable-looking, haven't you?","Well, well, since you came out of the 
Kodoku pot...

You look so dependable.",""
"今後、めんどくせー事はすべて任せて良さ
そうね・・・。

頑張って下さいな。","From now on, leave all the troublesome things to me. Well... please do your best.","From now on, I'll leave all the messy stuff to you.
I guess so...

Good luck with that.","From now on, you can leave all the troublesome things to me
Well...
I see...
Please do your best.
Please do your best.","MTL is having issues with the first sentence, seems that Kodama either says hakunen should leave the minor hassle to her OR that she's going to leave the matters to him since he's so dependable now.","From now on, leave all the troublesome 
matters to me. 
Well... 

Please do your best.","From now on, I'll leave all the messy
stuff to you.
Well... 

Please do your best.",""
"こんばんは。

カラクリ娘、今日も絶好調。","Good evening. 

Karakuuri Girl is in top form again today.","Good evening.

Karakuri girl, you're doing great today.","Good evening.

Karakuri Musume is in great shape today.","second sentence needs verification","Good evening. 

Karakuuri Girl is in top form again today.","Good evening. 

Karakuuri Girl is in top form today.",""
"姿を見る","Seeing your figure","Look at you.","look at","","Seeing your figure","Look at",""
"Back","Back","Back","Back","","Back","",""
"・・・当機の構造が気になりますか？","...Are you curious about the structure of the crash?","Are you curious about the structure of this machine?
the crash?","... Are you curious about the structure of this aircraft?
the crash?","not sure if it's supposed to be third person ""this machine"" or ""my structure""?","Are you curious about the structure of this machine?
the crash?","...Are you curious about the structure 
of this machine?",""
"さぁ冒険～♪

大冒険～♪","Let's go on an adventure~♪

A great adventure~♪","Come on, adventure...

Great adventure~♪","Let's go on an adventure~♪

Great adventure~♪","","Let's go on an adventure~♪

A great adventure~♪","Let's go on an adventure♪

A great adventure♪",""
"主殿！　進みましょう！

早く！","Main hall! Let's move forward! 

Hurry up!","My Lord!　Let's proceed!

Quickly!","Master! ""Let's go!""

quickly!","","Master! ""Let's go!""

quickly!","Master! Let's go!

Hurry up!",""
"Y-Yamachichi-san...","Y-Yamachichi-san...","Y-Yamachichi-san...","Y-Yamachichi-san...","","Y-Yamachichi-san...","",""
"気を抜かずに進みましょう。

何だか嫌な予感がします。","Let's keep moving forward without letting our guard down.

I have a bad feeling about this.","Let's keep moving forward without letting up.
our guard down.
I have a bad feeling about this.
I have a bad feeling about this.","Don't be discouraged and move on.
our guard down.
I have a bad feeling.
I have a bad feeling about this.","","Let's keep moving forward without letting 
our guard down.

I have a bad feeling about this.","Let's go but don't let our guard down.

I have a bad feeling about this.",""
"大丈夫でござる！！

何が出ようが、拙者が一撃で粉砕でござる！","I am fine!!

No matter what comes out, I will crush it with one blow!","It's all right, that it is!

Whatever comes out, I will crush it with one blow, that I will!
with one blow!","It's okay! !

No matter what comes out, I will crush it with one blow!
with one blow!","","I am fine!!

No matter what comes out, I will crush it
with one blow!","It'll be fine!!

No matter what we encounter, I 
will crush it with one blow!",""
"いきなり、物騒なのはやめましょう・・・。","Let's stop being suddenly dangerous...","Let's not make a fuss all of a sudden...","Let's stop being noisy all of a sudden...","","Let's stop being suddenly dangerous...","Let's not be reckless...",""
"帰りたくなったら・・・

\c[1]「神速帰還」\c[0]を使え！","When you want to go back... 

\c[1]Use ""Godspeed Return"" \c[0]!","If you want to go home...

Use \c[1] ""Divine Speed Return"" \c[0]!","If you want to go home...

Use \c[1] ""Godspeed Return"" \c[0]!","","When you want to go back... 

\c[1]Use ""Godspeed Return"" \c[0]!","When you want to go back... 

\c[1]Use ""Godspeed Return"" \c[0]!",""
"「技」からいつでも使えるぞ。

ビューンと拠点へ一直線だ。","You can use it anytime from ""technique"". 

 It goes straight to the base with a ""whoosh"".","You can use it anytime from the ""Technique"" menu.

Go straight to the base.
""whoosh"".","You can use it at any time from ""skill"".

It's a straight line to Viewn and the base.
""whoosh"".","","You can use it anytime from ""technique"". 

 It goes straight to the base with a ""whoosh"".","You can use it anytime from ""Skills"". 

It sends you straight to the base.",""
